AppSwitch	From	To	Count
ms-teams > chrome	ms-teams	chrome	5
chrome > ms-teams	chrome	ms-teams	4
ms-teams > explorer	ms-teams	explorer	18
explorer > chrome	explorer	chrome	10
chrome > explorer	chrome	explorer	11
explorer > ms-teams	explorer	ms-teams	20
explorer > revit	explorer	revit	18
revit > explorer	revit	explorer	20
chrome > rhino	chrome	rhino	4
rhino > explorer	rhino	explorer	17
explorer > rhino	explorer	rhino	16
explorer > rhino_en-us_7.38.24338.17001	explorer	rhino_en-us_7.38.24338.17001	1
rhino_en-us_7.38.24338.17001 > explorer	rhino_en-us_7.38.24338.17001	explorer	1
ms-teams > olk	ms-teams	olk	1
olk > ms-teams	olk	ms-teams	1
explorer > winword	explorer	winword	9
winword > explorer	winword	explorer	9
revit > rhiexec	revit	rhiexec	1
rhiexec > explorer	rhiexec	explorer	1
revit > chrome	revit	chrome	2
chrome > revit	chrome	revit	1
rhino > chrome	rhino	chrome	3
explorer > olk	explorer	olk	3
olk > revit	olk	revit	1
explorer > notepad++	explorer	notepad++	1
notepad++ > revit	notepad++	revit	1
revit > ms-teams	revit	ms-teams	13
ms-teams > revit	ms-teams	revit	15
explorer > snippingtool	explorer	snippingtool	5
snippingtool > revit	snippingtool	revit	5
revit > snippingtool	revit	snippingtool	5
snippingtool > explorer	snippingtool	explorer	4
explorer > photos	explorer	photos	1
photos > explorer	photos	explorer	1
explorer > excel	explorer	excel	2
excel > explorer	excel	explorer	3
snippingtool > excel	snippingtool	excel	1
ms-teams > winword	ms-teams	winword	1
winword > acrobat	winword	acrobat	1
acrobat > winword	acrobat	winword	1
winword > ms-teams	winword	ms-teams	1
olk > msedgewebview2	olk	msedgewebview2	1
msedgewebview2 > olk	msedgewebview2	olk	1
olk > explorer	olk	explorer	2
